country_ch,country_en,cases,deaths
美國,United States,"35,490,107","626,669"
印度,India,"31,812,114","426,290"
巴西,Brazil,"20,066,587","560,706"
俄羅斯,Russia,"6,379,904","162,509"
法國,France,"6,233,876","112,130"
英國,United Kingdom,"5,982,581","130,086"
土耳其,Turkey,"5,846,784","51,875"
阿根廷,Argentina,"4,989,402","107,023"
哥倫比亞,Colombia,"4,821,603","121,899"
西班牙,Spain,"4,566,571","81,931"
義大利,Italy,"4,377,188","128,163"
伊朗,Iran,"4,057,758","92,628"
德國,Germany,"3,780,985","91,730"
印尼,Indonesia,"3,568,331","102,375"
墨西哥,Mexico,"2,901,094","242,547"
波蘭,Poland,"2,883,624","75,275"
南非,South Africa,"2,497,655","73,873"
烏克蘭,Ukraine,"2,256,397","53,049"
秘魯,Peru,"2,119,068","196,673"
荷蘭,Netherlands,"1,878,214","17,850"
伊拉克,Iraq,"1,684,955","19,000"
捷克,Czech Republic,"1,674,410","30,371"
菲律賓,Philippines,"1,627,816","28,427"
智利,Chile,"1,620,389","35,806"
加拿大,Canada,"1,434,737","26,618"
孟加拉,Bangladesh,"1,322,654","21,902"
馬來西亞,Malaysia,"1,203,706","10,019"
比利時,Belgium,"1,132,934","25,258"
瑞典,Sweden,"1,103,693","14,657"
羅馬尼亞,Romania,"1,084,226","34,300"
巴基斯坦,Pakistan,"1,053,660","23,635"
日本,Japan,"986,451","15,241"
葡萄牙,Portugal,"979,987","17,422"
以色列,Israel,"889,111","6,509"
匈牙利,Hungary,"809,803","30,032"
約旦,Jordan,"775,251","10,100"
塞爾維亞,Serbia,"724,097","7,132"
瑞士,Switzerland,"722,801","10,409"
尼泊爾,Nepal,"708,079","9,994"
泰國,Thailand,"693,305","5,663"
阿拉伯聯合大公國,UAE,"688,489","1,967"
摩洛哥,Morocco,"665,325","10,087"
奧地利,Austria,"661,359","10,745"
哈薩克,Kazakhstan,"610,744","6,402"
突尼西亞,Tunisia,"602,757","20,550"
黎巴嫩,Lebanon,"567,044","7,926"
沙烏地阿拉伯,Saudi Arabia,"530,981","8,297"
希臘,Greece,"506,672","13,000"
厄瓜多,Ecuador,"490,356","31,754"
玻利維亞,Bolivia,"476,097","17,910"
巴拉圭,Paraguay,"453,794","15,172"
白俄羅斯,Belarus,"450,445","3,503"
巴拿馬,Panama,"438,781","6,860"
喬治亞,Georgia,"436,573","5,986"
古巴,Cuba,"431,013","3,184"
保加利亞,Bulgaria,"426,932","18,243"
哥斯大黎加,Costa Rica,"414,745","5,108"
科威特,Kuwait,"401,697","2,356"
斯洛伐克,Slovakia,"392,898","12,541"
烏拉圭,Uruguay,"382,155","5,982"
瓜地馬拉,Guatemala,"381,514","10,578"
克羅埃西亞,Croatia,"364,491","8,270"
亞塞拜然,Azerbaijan,"348,074","5,043"
巴勒斯坦,Palestine,"346,409","3,877"
多明尼加,Dominican,"343,512","3,971"
丹麥,Denmark,"322,292","2,554"
斯里蘭卡,Sri Lanka,"321,429","4,821"
緬甸,Myanmar,"319,250","10,988"
委內瑞拉,Venezuela,"309,218","3,649"
愛爾蘭,Ireland,"307,019","5,044"
宏都拉斯,Honduras,"303,387","8,014"
阿曼,Oman,"298,020","3,906"
埃及,Egypt,"284,472","16,550"
立陶宛,Lithuania,"284,432","4,424"
衣索比亞,Ethiopia,"282,498","4,406"
巴林,Bahrain,"269,737","1,384"
利比亞,Libya,"262,948","3,663"
摩爾多瓦,Moldova,"260,183","6,270"
斯洛維尼亞,Slovenia,"259,764","4,429"
亞美尼亞,Armenia,"231,322","4,632"
卡達,Qatar,"227,055",601
肯亞,Kenya,"208,262","4,057"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"206,031","9,689"
韓國,South Korea,"205,702","2,109"
尚比亞,Zambia,"198,455","3,447"
越南,Vietnam,"185,057","2,720"
阿爾及利亞,Algeria,"178,013","4,441"
奈及利亞,Nigeria,"176,011","2,167"
蒙古,Mongolia,"169,851",836
吉爾吉斯,Kyrgyzstan,"167,076","2,372"
北馬其頓,North Macedonia,"156,926","5,501"
阿富汗,Afghanistan,"149,806","6,879"
挪威,Norway,"139,463",804
拉脫維亞,Latvia,"139,204","2,558"
愛沙尼亞,Estonia,"134,479","1,276"
烏茲別克,Uzbekistan,"133,852",910
阿爾巴尼亞,Albania,"133,442","2,457"
莫三比克,Mozambique,"129,036","1,538"
波札那,Botswana,"122,574","1,704"
納米比亞,Namibia,"120,221","3,142"
辛巴威,Zimbabwe,"114,489","3,754"
芬蘭,Finland,"109,982",984
科索沃,Kosovo,"109,039","2,270"
迦納,Ghana,"106,434",854
賽普勒斯,Cyprus,"104,469",433
蒙特內哥羅,Montenegro,"102,879","1,635"
烏干達,Uganda,"94,904","2,752"
中國大陸,China,"93,498","4,636"
薩爾瓦多,El Salvador,"88,371","2,681"
喀麥隆,Cameroon,"82,064","1,334"
柬埔寨,Cambodia,"80,225","1,507"
馬爾地夫,Maldives,"77,999",222
盧安達,Rwanda,"74,364",860
盧森堡,Luxembourg,"74,212",824
新加坡,Singapore,"65,508",40
塞內加爾,Senegal,"65,333","1,441"
馬拉威,Malawi,"54,715","1,748"
牙買加,Jamaica,"53,839","1,211"
剛果民主共和國,DR Congo,"51,048","1,045"
象牙海岸,Ivory Coast,"50,893",338
安哥拉,Angola,"43,269","1,032"
馬達加斯加,Madagascar,"42,685",943
千里達及托巴哥,Trinidad and Tobago,"39,577","1,117"
蘇丹,Sudan,"37,138","2,776"
澳洲,Australia,"35,390",932
斐濟,Fiji,"34,888",283
馬爾他,Malta,"34,668",424
維德角,Cape Verde,"33,941",298
史瓦帝尼,Eswatini,"29,397",827
茅利塔尼亞,Mauritania,"27,231",583
幾內亞,Guinea,"26,188",238
敘利亞,Syria,"26,059","1,919"
蘇利南,Suriname,"25,614",657
加彭,Gabon,"25,440",165
蓋亞那,Guyana,"22,705",551
海地,Haiti,"20,326",563
塞席爾,Seychelles,"18,582",94
巴布亞紐幾內亞,Papua New Guinea,"17,774",192
多哥,Togo,"16,232",155
塔吉克,Tajikistan,"15,764",122
臺灣,Taiwan,"15,753",791
巴哈馬,Bahamas,"15,191",295
安道爾,Andorra,"14,809",128
馬利,Mali,"14,615",534
貝里斯,Belize,"14,382",338
賴索托,Lesotho,"13,603",377
布吉納法索,Burkina Faso,"13,599",169
剛果共和國,Congo,"13,216",178
索馬利亞,Somalia,"12,402",549
香港,Hong Kong,"12,003",212
吉布地,Djibouti,"11,656",156
